"dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","atemp","hum","windspeed","cnt"
2011-02-03,"1","0","2","0","4","1","1",0.177878,0.437826,0.277752,1550
2011-02-04,"1","0","2","0","5","1","2",0.228587,0.585217,0.127839,1708
2011-02-05,"1","0","2","0","6","0","2",0.243058,0.929167,0.161079,1005
2011-02-06,"1","0","2","0","0","0","1",0.291671,0.568333,0.1418,1623
2011-02-07,"1","0","2","0","1","1","1",0.303658,0.738333,0.0454083,1712
2011-02-08,"1","0","2","0","2","1","1",0.198246,0.537917,0.36195,1530
2011-02-09,"1","0","2","0","3","1","2",0.144283,0.494783,0.188839,1605
2011-02-10,"1","0","2","0","4","1","1",0.149548,0.437391,0.221935,1538
2011-02-11,"1","0","2","0","5","1","1",0.213509,0.506364,0.10855,1746
2011-02-12,"1","0","2","0","6","0","1",0.232954,0.544167,0.203367,1472
2011-02-13,"1","0","2","0","0","0","1",0.324113,0.457391,0.260883,1589
2011-02-15,"1","0","2","0","2","1","1",0.254274,0.314348,0.291374,1815
2011-02-16,"1","0","2","0","3","1","1",0.3162,0.423478,0.251791,2115
2011-02-17,"1","0","2","0","4","1","1",0.428658,0.505,0.230104,2475
2011-02-18,"1","0","2","0","5","1","1",0.511983,0.516667,0.264925,2927
2011-02-20,"1","0","2","0","0","0","1",0.27733,0.407826,0.223235,1812
2011-02-21,"1","0","2","1","1","0","2",0.284075,0.605,0.307846,1107
2011-02-22,"1","0","2","0","2","1","1",0.186033,0.577778,0.195683,1450
2011-02-23,"1","0","2","0","3","1","1",0.245717,0.423043,0.094113,1917
2011-02-24,"1","0","2","0","4","1","2",0.289191,0.697391,0.250496,1807
2011-02-25,"1","0","2","0","5","1","2",0.350461,0.712174,0.346539,1461
2011-02-26,"1","0","2","0","6","0","1",0.282192,0.537917,0.186571,1969
2011-02-27,"1","0","2","0","0","0","1",0.351109,0.68,0.125248,2402
2011-02-28,"1","0","2","0","1","1","2",0.400118,0.876364,0.289686,1446
2011-03-01,"1","0","3","0","2","1","1",0.263879,0.535,0.216425,1851
2011-03-02,"1","0","3","0","3","1","1",0.320071,0.449583,0.307833,2134
2011-03-03,"1","0","3","0","4","1","1",0.200133,0.318333,0.225754,1685
2011-03-04,"1","0","3","0","5","1","2",0.255679,0.610417,0.203346,1944
2011-03-05,"1","0","3","0","6","0","2",0.378779,0.789167,0.251871,2077
2011-03-06,"1","0","3","0","0","0","2",0.366252,0.948261,0.343287,605
2011-03-07,"1","0","3","0","1","1","1",0.238461,0.551304,0.341352,1872
2011-03-08,"1","0","3","0","2","1","1",0.3024,0.420833,0.12065,2133
2011-03-09,"1","0","3","0","3","1","2",0.286608,0.775417,0.22015,1891
2011-03-11,"1","0","3","0","5","1","2",0.305,0.649565,0.23297,1977
2011-03-12,"1","0","3","0","6","0","1",0.32575,0.594583,0.220775,2132
2011-03-13,"1","0","3","0","0","0","1",0.380091,0.527391,0.270604,2417
2011-03-14,"1","0","3","0","1","1","1",0.332,0.496957,0.136926,2046
2011-03-15,"1","0","3","0","2","1","2",0.318178,0.655652,0.184309,2056
2011-03-16,"1","0","3","0","3","1","2",0.36693,0.776522,0.203117,2192
2011-03-17,"1","0","3","0","4","1","1",0.410333,0.602917,0.209579,2744
2011-03-18,"1","0","3","0","5","1","1",0.527009,0.525217,0.231017,3239
2011-03-19,"1","0","3","0","6","0","1",0.466525,0.379167,0.368167,3117
2011-03-20,"1","0","3","0","0","0","1",0.32575,0.47375,0.207721,2471
2011-03-21,"2","0","3","0","1","1","2",0.409735,0.737391,0.288783,2077
2011-03-22,"2","0","3","0","2","1","1",0.440642,0.624583,0.22575,2703
2011-03-23,"2","0","3","0","3","1","2",0.337939,0.839565,0.234261,2121
2011-03-24,"2","0","3","0","4","1","2",0.270833,0.805833,0.243787,1865
2011-03-25,"2","0","3","0","5","1","1",0.256312,0.495,0.230725,2210
2011-03-26,"2","0","3","0","6","0","1",0.257571,0.394167,0.209571,2496
2011-03-27,"2","0","3","0","0","0","2",0.250339,0.493913,0.1843,1693
2011-03-28,"2","0","3","0","1","1","1",0.257574,0.302174,0.212204,2028
2011-03-29,"2","0","3","0","2","1","1",0.292908,0.314167,0.226996,2425
2011-03-30,"2","0","3","0","3","1","2",0.29735,0.646667,0.172888,1536
2011-03-31,"2","0","3","0","4","1","3",0.257575,0.918333,0.217646,1685
2011-04-01,"2","0","4","0","5","1","2",0.283454,0.68625,0.258708,2227
2011-04-02,"2","0","4","0","6","0","2",0.315637,0.65375,0.197146,2252
2011-04-03,"2","0","4","0","0","0","1",0.378767,0.48,0.182213,3249
2011-04-06,"2","0","4","0","3","1","1",0.387608,0.470833,0.263063,2808
2011-04-07,"2","0","4","0","4","1","1",0.433696,0.602917,0.162312,3141
2011-04-08,"2","0","4","0","5","1","2",0.324479,0.83625,0.226992,1471
2011-04-09,"2","0","4","0","6","0","2",0.341529,0.8775,0.133083,2455
2011-04-10,"2","0","4","0","0","0","2",0.426737,0.8575,0.146767,2895
2011-04-11,"2","0","4","0","1","1","2",0.565217,0.716956,0.324474,3348
2011-04-12,"2","0","4","0","2","1","2",0.493054,0.739167,0.274879,2034
2011-04-13,"2","0","4","0","3","1","2",0.417283,0.819167,0.250617,2162
2011-04-14,"2","0","4","0","4","1","1",0.462742,0.540417,0.1107,3267
2011-04-15,"2","0","4","1","5","0","1",0.441913,0.67125,0.226375,3126
2011-04-16,"2","0","4","0","6","0","3",0.425492,0.888333,0.340808,795
2011-04-17,"2","0","4","0","0","0","1",0.445696,0.479583,0.303496,3744
2011-04-18,"2","0","4","0","1","1","1",0.503146,0.5425,0.163567,3429
2011-04-19,"2","0","4","0","2","1","2",0.489258,0.665833,0.157971,3204
2011-04-20,"2","0","4","0","3","1","1",0.564392,0.614167,0.241925,3944
2011-04-21,"2","0","4","0","4","1","1",0.453892,0.407083,0.325258,4189
2011-04-22,"2","0","4","0","5","1","2",0.321954,0.729583,0.219521,1683
2011-04-23,"2","0","4","0","6","0","2",0.450121,0.887917,0.230725,4036
2011-04-24,"2","0","4","0","0","0","2",0.551763,0.810833,0.192175,4191
2011-04-25,"2","0","4","0","1","1","1",0.5745,0.776667,0.185333,4073
2011-04-26,"2","0","4","0","2","1","1",0.594083,0.729167,0.3265,4400
2011-04-27,"2","0","4","0","3","1","2",0.575142,0.835417,0.3122,3872
2011-04-28,"2","0","4","0","4","1","2",0.578929,0.700833,0.320908,4058
2011-04-29,"2","0","4","0","5","1","1",0.497463,0.457083,0.240063,4595
2011-04-30,"2","0","4","0","6","0","1",0.464021,0.503333,0.235075,5312
2011-05-01,"2","0","5","0","0","0","2",0.448204,0.762083,0.106354,3351
2011-05-02,"2","0","5","0","1","1","2",0.532833,0.73,0.183454,4401
2011-05-03,"2","0","5","0","2","1","2",0.582079,0.697083,0.342667,4451
2011-05-04,"2","0","5","0","3","1","2",0.40465,0.737083,0.328996,2633
2011-05-05,"2","0","5","0","4","1","1",0.441917,0.444167,0.295392,4433
2011-05-06,"2","0","5","0","5","1","1",0.474117,0.59,0.228246,4608
2011-05-07,"2","0","5","0","6","0","1",0.512621,0.54125,0.16045,4714
2011-05-08,"2","0","5","0","0","0","1",0.518933,0.631667,0.0746375,4333
2011-05-09,"2","0","5","0","1","1","1",0.525246,0.58875,0.176,4362
2011-05-10,"2","0","5","0","2","1","1",0.522721,0.489167,0.115671,4803
2011-05-11,"2","0","5","0","3","1","1",0.5284,0.632917,0.120642,4182
2011-05-12,"2","0","5","0","4","1","1",0.523363,0.7475,0.189667,4864
2011-05-13,"2","0","5","0","5","1","2",0.4943,0.863333,0.179725,4105
2011-05-14,"2","0","5","0","6","0","2",0.500629,0.9225,0.13495,3409
2011-05-15,"2","0","5","0","0","0","2",0.536,0.867083,0.152979,4553
2011-05-16,"2","0","5","0","1","1","1",0.550512,0.787917,0.126871,3958
2011-05-17,"2","0","5","0","2","1","2",0.538529,0.837917,0.277354,4123
2011-05-18,"2","0","5","0","3","1","2",0.527158,0.87,0.201492,3855
2011-05-19,"2","0","5","0","4","1","2",0.510742,0.829583,0.108213,4575
2011-05-20,"2","0","5","0","5","1","1",0.529042,0.719583,0.125013,4917
2011-05-21,"2","0","5","0","6","0","1",0.571975,0.626667,0.12065,5805
2011-05-22,"2","0","5","0","0","0","1",0.5745,0.749583,0.148008,4660
2011-05-23,"2","0","5","0","1","1","2",0.590296,0.81,0.233842,4274
2011-05-24,"2","0","5","0","2","1","2",0.604813,0.740833,0.207092,4492
2011-05-25,"2","0","5","0","3","1","1",0.615542,0.69625,0.154233,4978
2011-05-26,"2","0","5","0","4","1","1",0.654688,0.6775,0.199642,4677
2011-05-27,"2","0","5","0","5","1","1",0.637008,0.65375,0.240679,4679
2011-05-28,"2","0","5","0","6","0","1",0.612379,0.729583,0.230092,4758
2011-05-30,"2","0","5","1","1","0","1",0.671092,0.685,0.131225,4098
2011-05-31,"2","0","5","0","2","1","1",0.725383,0.636667,0.111329,3982
2011-06-01,"2","0","6","0","3","1","2",0.720967,0.677083,0.207092,3974
2011-06-02,"2","0","6","0","4","1","1",0.643942,0.305,0.292287,4968
2011-06-03,"2","0","6","0","5","1","1",0.587133,0.354167,0.253121,5312
2011-06-04,"2","0","6","0","6","0","1",0.594696,0.45625,0.123142,5342
2011-06-05,"2","0","6","0","0","0","2",0.616804,0.6525,0.138692,4906
2011-06-06,"2","0","6","0","1","1","1",0.621858,0.6,0.121896,4548
2011-06-07,"2","0","6","0","2","1","1",0.65595,0.597917,0.187808,4833
2011-06-08,"2","0","6","0","3","1","1",0.727279,0.622083,0.136817,4401
2011-06-09,"2","0","6","0","4","1","2",0.757579,0.568333,0.149883,3915
2011-06-10,"2","0","6","0","5","1","1",0.703292,0.605,0.140554,4586
2011-06-11,"2","0","6","0","6","0","1",0.678038,0.654583,0.15485,4966
2011-06-12,"2","0","6","0","0","0","1",0.643325,0.747917,0.163567,4460
2011-06-13,"2","0","6","0","1","1","1",0.601654,0.494583,0.30535,5020
2011-06-14,"2","0","6","0","2","1","1",0.591546,0.507083,0.269283,4891
2011-06-15,"2","0","6","0","3","1","1",0.587754,0.471667,0.167912,5180
2011-06-16,"2","0","6","0","4","1","2",0.595346,0.688333,0.206471,3767
2011-06-17,"2","0","6","0","5","1","1",0.600383,0.735833,0.143029,4844
2011-06-18,"2","0","6","0","6","0","1",0.643954,0.670417,0.119408,5119
2011-06-19,"2","0","6","0","0","0","2",0.645846,0.666667,0.102,4744
2011-06-20,"2","0","6","0","1","1","2",0.595346,0.74625,0.155475,4010
2011-06-21,"3","0","6","0","2","1","2",0.637646,0.770417,0.171025,4835
2011-06-22,"3","0","6","0","3","1","1",0.693829,0.7075,0.172262,4507
2011-06-23,"3","0","6","0","4","1","2",0.693833,0.703333,0.238804,4790
2011-06-24,"3","0","6","0","5","1","1",0.656583,0.573333,0.222025,4991
2011-06-25,"3","0","6","0","6","0","1",0.643313,0.483333,0.209571,5202
2011-06-26,"3","0","6","0","0","0","1",0.637629,0.513333,0.0945333,5305
2011-06-27,"3","0","6","0","1","1","2",0.637004,0.658333,0.107588,4708
2011-06-28,"3","0","6","0","2","1","1",0.692558,0.634167,0.144283,4648
2011-06-29,"3","0","6","0","3","1","1",0.654688,0.497917,0.261821,5225
2011-06-30,"3","0","6","0","4","1","1",0.637008,0.434167,0.185312,5515
2011-07-01,"3","0","7","0","5","1","1",0.652162,0.39625,0.102608,5362
2011-07-02,"3","0","7","0","6","0","1",0.667308,0.444583,0.115062,5119
2011-07-03,"3","0","7","0","0","0","2",0.668575,0.6825,0.228858,4649
2011-07-05,"3","0","7","0","2","1","1",0.696338,0.590417,0.126258,4665
2011-07-06,"3","0","7","0","3","1","1",0.685633,0.743333,0.149883,4629
2011-07-07,"3","0","7","0","4","1","1",0.686871,0.65125,0.1592,4592
2011-07-08,"3","0","7","0","5","1","2",0.670483,0.757917,0.225129,4040
2011-07-09,"3","0","7","0","6","0","1",0.664158,0.609167,0.167912,5336
2011-07-10,"3","0","7","0","0","0","1",0.690025,0.578333,0.183471,4881
2011-07-11,"3","0","7","0","1","1","1",0.729804,0.635833,0.282337,4086
2011-07-12,"3","0","7","0","2","1","1",0.739275,0.559167,0.200254,4258
2011-07-13,"3","0","7","0","3","1","1",0.689404,0.631667,0.146133,4342
2011-07-14,"3","0","7","0","4","1","1",0.635104,0.47625,0.240667,5084
2011-07-15,"3","0","7","0","5","1","1",0.624371,0.59125,0.182833,5538
2011-07-17,"3","0","7","0","0","0","1",0.669833,0.604167,0.245033,5302
2011-07-18,"3","0","7","0","1","1","1",0.703925,0.65125,0.215804,4458
2011-07-19,"3","0","7","0","2","1","1",0.747479,0.650417,0.1306,4541
2011-07-20,"3","0","7","0","3","1","1",0.74685,0.707083,0.113817,4332
2011-07-21,"3","0","7","0","4","1","2",0.826371,0.69125,0.222021,3784
2011-07-22,"3","0","7","0","5","1","1",0.840896,0.580417,0.1331,3387
2011-07-23,"3","0","7","0","6","0","1",0.804287,0.5,0.131221,3285
2011-07-24,"3","0","7","0","0","0","1",0.794829,0.550833,0.169171,3606
2011-07-25,"3","0","7","0","1","1","1",0.720958,0.757083,0.0908083,3840
2011-07-26,"3","0","7","0","2","1","1",0.696979,0.540833,0.200258,4590
2011-07-27,"3","0","7","0","3","1","1",0.690667,0.402917,0.183463,4656
2011-07-28,"3","0","7","0","4","1","1",0.7399,0.583333,0.178479,4390
2011-07-29,"3","0","7","0","5","1","1",0.785967,0.5425,0.174138,3846
2011-07-30,"3","0","7","0","6","0","1",0.728537,0.465833,0.168537,4475
2011-07-31,"3","0","7","0","0","0","1",0.729796,0.480833,0.164813,4302
2011-08-01,"3","0","8","0","1","1","1",0.703292,0.550833,0.156717,4266
2011-08-02,"3","0","8","0","2","1","1",0.707071,0.49125,0.20585,4845
2011-08-03,"3","0","8","0","3","1","2",0.679937,0.6575,0.135583,3574
2011-08-04,"3","0","8","0","4","1","2",0.664788,0.7575,0.19715,4576
2011-08-05,"3","0","8","0","5","1","1",0.656567,0.630833,0.184696,4866
2011-08-06,"3","0","8","0","6","0","2",0.676154,0.755,0.22825,4294
2011-08-07,"3","0","8","0","0","0","1",0.715292,0.752917,0.201487,3785
2011-08-08,"3","0","8","0","1","1","1",0.703283,0.592083,0.192175,4326
2011-08-09,"3","0","8","0","2","1","1",0.724121,0.570417,0.151121,4602
2011-08-10,"3","0","8","0","3","1","1",0.684983,0.424167,0.200258,4780
2011-08-11,"3","0","8","0","4","1","1",0.651521,0.42375,0.164796,4792
2011-08-12,"3","0","8","0","5","1","1",0.654042,0.415,0.125621,4905
2011-08-13,"3","0","8","0","6","0","2",0.645858,0.729583,0.211454,4150
2011-08-14,"3","0","8","0","0","0","2",0.624388,0.8175,0.222633,3820
2011-08-15,"3","0","8","0","1","1","1",0.616167,0.712083,0.208954,4338
2011-08-16,"3","0","8","0","2","1","1",0.645837,0.578333,0.236329,4725
2011-08-17,"3","0","8","0","3","1","1",0.666671,0.575417,0.143667,4694
2011-08-18,"3","0","8","0","4","1","1",0.662258,0.654583,0.233208,3805
2011-08-19,"3","0","8","0","5","1","2",0.633221,0.722917,0.139308,4153
2011-08-20,"3","0","8","0","6","0","1",0.648996,0.674167,0.104467,5191
2011-08-21,"3","0","8","0","0","0","1",0.675525,0.77,0.248754,3873
2011-08-22,"3","0","8","0","1","1","1",0.638254,0.47,0.27675,4758
2011-08-23,"3","0","8","0","2","1","1",0.606067,0.455417,0.146763,5895
2011-08-24,"3","0","8","0","3","1","1",0.630692,0.605,0.253108,5130
2011-08-25,"3","0","8","0","4","1","2",0.645854,0.771667,0.210833,3542
2011-08-26,"3","0","8","0","5","1","1",0.659733,0.76125,0.0839625,4661
2011-08-27,"3","0","8","0","6","0","2",0.635556,0.85,0.375617,1115
2011-08-28,"3","0","8","0","0","0","1",0.647959,0.561765,0.304659,4334
2011-08-29,"3","0","8","0","1","1","1",0.607958,0.554583,0.159825,4634
2011-08-30,"3","0","8","0","2","1","1",0.594704,0.548333,0.125008,5204
2011-08-31,"3","0","8","0","3","1","1",0.611121,0.597917,0.0833333,5058
2011-09-01,"3","0","9","0","4","1","1",0.614921,0.639167,0.141796,5115
2011-09-02,"3","0","9","0","5","1","2",0.604808,0.727083,0.139929,4727
2011-09-03,"3","0","9","0","6","0","1",0.633213,0.716667,0.185325,4484
2011-09-05,"3","0","9","1","1","0","2",0.625646,0.790417,0.212696,3351
2011-09-06,"3","0","9","0","2","1","3",0.5152,0.886957,0.343943,2710
2011-09-07,"3","0","9","0","3","1","3",0.544229,0.917083,0.0970208,1996
2011-09-08,"3","0","9","0","4","1","3",0.555361,0.939565,0.192748,1842
2011-09-09,"3","0","9","0","5","1","2",0.578946,0.897917,0.124379,3544
2011-09-10,"3","0","9","0","6","0","1",0.607962,0.75375,0.153608,5345
2011-09-11,"3","0","9","0","0","0","1",0.609229,0.71375,0.115054,5046
2011-09-12,"3","0","9","0","1","1","1",0.60213,0.692174,0.088913,4713
2011-09-13,"3","0","9","0","2","1","1",0.603554,0.7125,0.141804,4763
2011-09-14,"3","0","9","0","3","1","1",0.6269,0.697083,0.1673,4785
2011-09-15,"3","0","9","0","4","1","2",0.553671,0.709167,0.271146,3659
2011-09-16,"3","0","9","0","5","1","2",0.461475,0.590417,0.164183,4760
2011-09-17,"3","0","9","0","6","0","2",0.478512,0.718333,0.189675,4511
2011-09-18,"3","0","9","0","0","0","1",0.490537,0.695,0.178483,4274
2011-09-19,"3","0","9","0","1","1","2",0.529675,0.69,0.151742,4539
2011-09-20,"3","0","9","0","2","1","2",0.532217,0.88125,0.134954,3641
2011-09-21,"3","0","9","0","3","1","2",0.550533,0.9,0.0964042,4352
2011-09-22,"3","0","9","0","4","1","2",0.554963,0.902083,0.128125,4795
2011-09-23,"4","0","9","0","5","1","2",0.522125,0.9725,0.0783667,2395
2011-09-24,"4","0","9","0","6","0","2",0.564412,0.8625,0.0783833,5423
2011-09-25,"4","0","9","0","0","0","2",0.572637,0.845,0.0503792,5010
2011-09-26,"4","0","9","0","1","1","2",0.589042,0.848333,0.1107,4630
2011-09-27,"4","0","9","0","2","1","2",0.574525,0.885417,0.118171,4120
2011-09-28,"4","0","9","0","3","1","2",0.575158,0.84875,0.148629,3907
2011-09-29,"4","0","9","0","4","1","1",0.574512,0.699167,0.172883,4839
2011-09-30,"4","0","9","0","5","1","1",0.544829,0.6475,0.206475,5202
2011-10-01,"4","0","10","0","6","0","2",0.412863,0.75375,0.292296,2429
2011-10-02,"4","0","10","0","0","0","2",0.345317,0.791667,0.222013,2918
2011-10-03,"4","0","10","0","1","1","2",0.392046,0.760833,0.0833458,3570
2011-10-04,"4","0","10","0","2","1","1",0.472858,0.71,0.205854,4456
2011-10-05,"4","0","10","0","3","1","1",0.527138,0.647917,0.17725,4826
2011-10-06,"4","0","10","0","4","1","1",0.480425,0.620833,0.134954,4765
2011-10-07,"4","0","10","0","5","1","1",0.504404,0.684167,0.0223917,4985
2011-10-08,"4","0","10","0","6","0","1",0.513242,0.70125,0.0454042,5409
2011-10-10,"4","0","10","1","1","0","1",0.542925,0.73375,0.0423042,5117
2011-10-11,"4","0","10","0","2","1","2",0.546096,0.80875,0.143042,4563
2011-10-12,"4","0","10","0","3","1","3",0.517717,0.90625,0.24815,2416
2011-10-13,"4","0","10","0","4","1","2",0.551804,0.896667,0.141787,2913
2011-10-14,"4","0","10","0","5","1","2",0.529675,0.71625,0.223883,3644
2011-10-15,"4","0","10","0","6","0","1",0.498725,0.483333,0.258083,5217
2011-10-16,"4","0","10","0","0","0","1",0.503154,0.486667,0.281717,5041
2011-10-17,"4","0","10","0","1","1","1",0.510725,0.579583,0.175379,4570
2011-10-18,"4","0","10","0","2","1","2",0.522721,0.701667,0.110087,4748
2011-10-19,"4","0","10","0","3","1","3",0.513848,0.895217,0.243339,2424
2011-10-21,"4","0","10","0","5","1","1",0.423596,0.574167,0.221396,4304
2011-10-22,"4","0","10","0","6","0","1",0.425492,0.629167,0.0926667,4308
2011-10-23,"4","0","10","0","0","0","1",0.422333,0.74125,0.0995125,4381
2011-10-24,"4","0","10","0","1","1","1",0.457067,0.772083,0.118792,4187
2011-10-25,"4","0","10","0","2","1","1",0.463375,0.622917,0.166658,4687
2011-10-26,"4","0","10","0","3","1","2",0.472846,0.720417,0.148642,3894
2011-10-27,"4","0","10","0","4","1","2",0.457046,0.812917,0.197763,2659
2011-10-28,"4","0","10","0","5","1","2",0.318812,0.585833,0.229479,3747
2011-10-29,"4","0","10","0","6","0","3",0.227913,0.8825,0.351371,627
2011-10-30,"4","0","10","0","0","0","1",0.321329,0.62375,0.176617,3331
2011-10-31,"4","0","10","0","1","1","1",0.356063,0.703333,0.10635,3669
2011-11-01,"4","0","11","0","2","1","1",0.397088,0.68375,0.135571,4068
2011-11-02,"4","0","11","0","3","1","1",0.390133,0.71875,0.0820917,4186
2011-11-03,"4","0","11","0","4","1","1",0.405921,0.702083,0.136817,3974
2011-11-04,"4","0","11","0","5","1","2",0.403392,0.6225,0.271779,4046
2011-11-05,"4","0","11","0","6","0","1",0.323854,0.519167,0.189062,3926
2011-11-06,"4","0","11","0","0","0","1",0.362358,0.734583,0.0920542,3649
2011-11-07,"4","0","11","0","1","1","1",0.400871,0.75875,0.057225,4035
2011-11-08,"4","0","11","0","2","1","1",0.412246,0.721667,0.0690375,4205
2011-11-09,"4","0","11","0","3","1","1",0.409079,0.758333,0.0621958,4109
2011-11-10,"4","0","11","0","4","1","2",0.373721,0.813333,0.189067,2933
2011-11-11,"4","0","11","1","5","0","1",0.306817,0.44625,0.314675,3368
2011-11-12,"4","0","11","0","6","0","1",0.357942,0.552917,0.212062,4067
2011-11-13,"4","0","11","0","0","0","1",0.43055,0.458333,0.281721,3717
2011-11-14,"4","0","11","0","1","1","1",0.524612,0.587083,0.306596,4486
2011-11-15,"4","0","11","0","2","1","2",0.507579,0.68875,0.199633,4195
2011-11-16,"4","0","11","0","3","1","3",0.451988,0.93,0.136829,1817
2011-11-17,"4","0","11","0","4","1","2",0.323221,0.575833,0.305362,3053
2011-11-18,"4","0","11","0","5","1","1",0.272721,0.41,0.168533,3392
2011-11-19,"4","0","11","0","6","0","1",0.324483,0.502083,0.224496,3663
2011-11-20,"4","0","11","0","0","0","2",0.457058,0.684583,0.18595,3520
2011-11-21,"4","0","11","0","1","1","3",0.445062,0.91,0.138054,2765
2011-11-22,"4","0","11","0","2","1","3",0.421696,0.9625,0.118792,1607
2011-11-23,"4","0","11","0","3","1","2",0.430537,0.757917,0.335825,2566
2011-11-24,"4","0","11","1","4","0","1",0.372471,0.549167,0.167304,1495
2011-11-25,"4","0","11","0","5","1","1",0.380671,0.64375,0.0988958,2792
2011-11-26,"4","0","11","0","6","0","1",0.385087,0.681667,0.0684208,3068
2011-11-27,"4","0","11","0","0","0","1",0.4558,0.698333,0.208954,3071
2011-11-28,"4","0","11","0","1","1","1",0.490122,0.743043,0.142122,3867
2011-11-29,"4","0","11","0","2","1","2",0.451375,0.830833,0.258092,2914
2011-11-30,"4","0","11","0","3","1","1",0.311221,0.613333,0.271158,3613
2011-12-01,"4","0","12","0","4","1","1",0.305554,0.524583,0.220158,3727
2011-12-02,"4","0","12","0","5","1","1",0.331433,0.625833,0.100754,3940
2011-12-03,"4","0","12","0","6","0","1",0.310604,0.612917,0.0957833,3614
2011-12-04,"4","0","12","0","0","0","1",0.3491,0.775833,0.0839583,3485
2011-12-05,"4","0","12","0","1","1","2",0.393925,0.827083,0.0622083,3811
2011-12-06,"4","0","12","0","2","1","3",0.4564,0.949583,0.232583,2594
2011-12-07,"4","0","12","0","3","1","3",0.400246,0.970417,0.266175,705
2011-12-08,"4","0","12","0","4","1","1",0.256938,0.58,0.240058,3322
2011-12-09,"4","0","12","0","5","1","1",0.317542,0.695833,0.0827167,3620
2011-12-10,"4","0","12","0","6","0","1",0.266412,0.5075,0.233221,3190
2011-12-11,"4","0","12","0","0","0","1",0.253154,0.49,0.0665417,2743
2011-12-12,"4","0","12","0","1","1","1",0.270196,0.670833,0.06345,3310
2011-12-13,"4","0","12","0","2","1","1",0.301138,0.59,0.14055,3523
2011-12-14,"4","0","12","0","3","1","2",0.338362,0.66375,0.0609583,3740
2011-12-15,"4","0","12","0","4","1","2",0.412237,0.634167,0.268042,3709
2011-12-16,"4","0","12","0","5","1","2",0.359825,0.500417,0.260575,3577
2011-12-17,"4","0","12","0","6","0","2",0.249371,0.560833,0.243167,2739
2011-12-18,"4","0","12","0","0","0","1",0.245579,0.58625,0.169779,2431
2011-12-19,"4","0","12","0","1","1","1",0.280933,0.6375,0.172896,3403
2011-12-20,"4","0","12","0","2","1","2",0.396454,0.595417,0.0615708,3750
2011-12-21,"1","0","12","0","3","1","2",0.428017,0.858333,0.2214,2660
2011-12-22,"1","0","12","0","4","1","2",0.426121,0.7575,0.047275,3068
2011-12-23,"1","0","12","0","5","1","1",0.377513,0.68625,0.274246,2209
2011-12-24,"1","0","12","0","6","0","1",0.299242,0.5425,0.190304,1011
2011-12-25,"1","0","12","0","0","0","1",0.279961,0.681304,0.155091,754
